Atrichopoda,0
N278,327.81129839000005
Gbiloba,0
N279,287.08146525999996
Cpanzhihuaensis,0
N280,224.35488866999998
Tchinensis,0
N281,191.11943918
Aalba,0
N282,165.2201413
N283,128.1519003
Pabies,0
Ptaeda,0
Pmenziesii,0
Cbraunii,0
